"","x","y","stem.density","basal.area","biomass"
"15984",836000,964000,234.38153047353,49.9732135762763,202805.45496311
"15985",844000,964000,328.732367426305,61.8495740136909,203272.506685997
"15986",852000,964000,213.86404414387,63.4308104925725,240502.022177882
"15987",860000,964000,220.779044917773,54.6017141781646,112295.352448029
"15988",868000,964000,201.787874555776,42.7503496836679,75244.3739239985
"15989",876000,964000,167.622036920923,41.3817938090157,73024.6325397788
"15990",884000,964000,188.970091373919,79.1126364815345,294480.002217429
"15991",892000,964000,219.154159896303,48.847285471386,100916.553346494
"15992",9e+05,964000,197.555112355379,51.0651178778063,144193.442527803
"15993",908000,964000,452.764147660654,90.5541599238473,571206.145733015
"15994",916000,964000,389.908103466091,66.3200835593292,197751.092806313
"15995",924000,964000,149.378906486792,56.3352056310865,472971.520703063
"15996",932000,964000,124.102177230714,36.4441788426797,73785.2198753334
"15997",940000,964000,190.673932977739,64.8790845730642,232488.434318926
"15998",948000,964000,134.839741382542,64.6326454690411,804329.665823458
"15999",956000,964000,196.904340777039,45.6546831336955,92211.4570913262
"16000",964000,964000,213.448303117525,97.9532275809522,791244.494229141
"16001",972000,964000,251.915827047671,64.4866861669166,173458.90464271
"16002",980000,964000,177.00288182973,42.2360877753153,111252.385096095
"16003",988000,964000,233.648161758445,20.6919101471208,18895.9674722679
"16052",-44000,956000,0,0,0
"16053",-36000,956000,0,0,0
"16054",-28000,956000,0,0,0
"16055",-20000,956000,0,0,0
"16056",-12000,956000,0,0,0
"16057",-4000,956000,0,0,0
"16058",4000,956000,0,0,0
"16059",12000,956000,0,0,0
"16060",20000,956000,0,0,0
"16061",28000,956000,0,0,0
"16062",36000,956000,0,0,0
"16063",44000,956000,0,0,0
"16064",52000,956000,0,0,0
"16065",60000,956000,1.51685455763337,0.903408498029951,13452.9715455113
"16066",68000,956000,5.63726039145274,1.94746886539591,12826.9362465828
"16067",76000,956000,2.72638770586702,1.26796617250493,13071.7341268648
"16068",84000,956000,0,0,0
"16069",92000,956000,0,0,0
"16070",1e+05,956000,0,0,0
"16071",108000,956000,0,0,0
"16072",116000,956000,0,0,0
"16073",124000,956000,0,0,0
"16074",132000,956000,0.625995389523265,0.0789422563429302,808.212360668583
"16075",140000,956000,50.290631093828,5.71263880668407,18902.1971532194
"16076",148000,956000,63.2721281213175,12.3864958616431,32349.7893730813
"16077",156000,956000,47.3793262970241,9.7257608162315,22993.2694109158
"16078",164000,956000,35.2697220496982,9.52570295091685,25005.6141022074
"16079",172000,956000,50.7672572138769,10.1127153798165,24204.0286692218
"16080",180000,956000,38.112291447084,13.7318062141483,66453.1918588772
"16081",188000,956000,43.6005880963636,21.7562767169462,98881.4484644512
"16082",196000,956000,25.7053923664098,11.759086406339,93188.5644403927
"16083",204000,956000,33.176987087302,7.08299657299765,25957.5035736638
"16084",212000,956000,6.93223849318863,1.34700526358719,11070.7194348193
"16085",220000,956000,9.3905298839744,1.90264420629518,8735.38153990583
"16086",228000,956000,13.3186651480729,2.65111081708601,14246.8752196222
"16087",236000,956000,26.5593394196054,9.94218510543282,58374.0505581119
"16088",244000,956000,21.9139625083604,6.78700339857213,42826.9636465364
"16089",252000,956000,13.0888755059682,3.13201917089092,17203.3635470313
"16090",260000,956000,15.8504564197789,4.22631164847905,24376.4470870299
"16091",268000,956000,79.697809777326,35.2004759744141,118857.144079369
"16092",276000,956000,69.1997040758157,25.694066245923,97790.0162396107
"16093",284000,956000,159.179903719803,57.1392727875118,119307.60403559
"16094",292000,956000,161.289295983181,65.7136478114513,177966.934943958
"16095",3e+05,956000,175.955518874529,54.3831684448871,97370.8367875376
"16096",308000,956000,156.05488203031,56.3414799702806,179371.541178711
"16097",316000,956000,58.4028889869048,21.6395621961553,70184.5776273968
"16098",324000,956000,7.6419816976926,1.2885375329374,4329.07617223027
"16099",332000,956000,28.7425338953336,4.20708123473966,13681.6486566785
"16100",340000,956000,6.92744807837511,0.951471928980593,2795.02434715412
"16101",348000,956000,40.5216744266549,7.3333185611494,34741.9360552137
"16102",356000,956000,74.8491687764593,13.7554416020578,50153.29610549
"16103",364000,956000,90.7988412583528,26.5772828787918,93023.4904697572
"16104",372000,956000,92.7559832387093,17.5889913423102,27348.0559358418
"16105",380000,956000,153.209439611183,35.3081810947201,72842.6231095904
"16106",388000,956000,97.8095364183204,27.2948516094715,44244.3464765932
"16107",396000,956000,120.182693718942,47.6279041779117,133986.258233673
"16108",404000,956000,123.777374739002,38.0564245381796,96896.8272419518
"16109",412000,956000,81.0116555476781,33.2090019679294,71567.7955848149
"16110",420000,956000,121.503535667685,49.2077120178652,142753.877883883
"16111",428000,956000,123.186322383679,50.4576684391061,103441.497738186
"16112",436000,956000,98.2632580484159,41.1918463936296,150822.533501444
"16113",444000,956000,106.291569667181,35.6840734084925,113714.681594821
"16114",452000,956000,79.4278220250829,27.1371708668954,57825.0768767486
"16115",460000,956000,99.8412008062612,32.4804715991628,59537.4453677366
"16116",468000,956000,105.776198782456,31.4101998864062,42310.874667803
"16117",476000,956000,109.029505768656,37.5892754329167,86701.1891477056
"16118",484000,956000,108.341848235439,56.1076504340843,142896.141521886
"16119",492000,956000,87.226349685928,33.3650535913162,53549.0120839165
"16120",5e+05,956000,104.804058740889,51.277958999881,299820.156397932
"16121",508000,956000,114.345504958888,40.4108902498101,52999.6080236626
"16122",516000,956000,105.90600821895,31.8126915744302,48665.7632288758
"16123",524000,956000,136.671159671948,49.6266120021526,129139.39580945
